,address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated
4214,пл. Славы 1,32,24,1,1280742078,https://vk.com/images/places/restaraunt.png,55.796051,37.938163,4214,Ля Прованс,3,1485788751.0
4215,Льва Толстого 4,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.965715,30.311916,4215,Кофемолка,3,1333053904.0
4216,просп. Энгельса 154,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,60.058708,30.336091,4216,Онтромэ,3,
4217,Социалистическая 107,0,119,1,1280742078,https://vk.com/images/places/restaraunt.png,47.220946,39.717097,4217,На Никольской,3,
4218,Набережная р. Дон ,0,119,1,1280742078,https://vk.com/images/places/restaraunt.png,47.227209,39.744898,4218,Станица,3,
4219,Набережная р. Дон ,2,119,1,1280742078,https://vk.com/images/places/restaraunt.png,47.227206,39.744893,4219,Фрегат,3,1334945412.0
4220,Железноводская 25,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.952254,30.248548,4220,Плюшкин дом,3,1455358316.0
4221,Димитрова 16К1,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.848321,30.384181,4221,Распутин,3,1331150437.0
4222,Стромынка 6,4,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.791253,37.687336,4222,Бакинский дворик,3,1374748646.0
4223,Верхоянская 9К9,43,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.856103,37.667321,4223,Локо-парк,3,1462566607.0
4224,Звенигородское ш. 4К1,6,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.764217,37.55911,4224,Bierdorf,3,1476344568.0
4225,Булатниковская 5К4,21,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.578951,37.650918,4225,Бирюса,3,1479546884.0
4226,Минская 11,2,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.739701,37.481603,4226,Бегония,3,1423506825.0
4227,Смоленская 8,1,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.749734,37.583382,4227,Белград,3,1396507691.0
4228,Б.Покровская 29,2,95,1,1280742078,https://vk.com/images/places/restaraunt.png,56.320418,43.998324,4228,Хитовая столовая,3,1383322916.0
4229,Смольная 35К2,10,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.860767,37.480939,4229,Борщев,3,1416389106.0
